tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	1.874e+05	   5.572
   2	1.121e+05	   8.602
   3	8.155e+04	   10.82
   4	6.594e+04	    12.8
   5	5.693e+04	   14.66
   6	5.13e+04	   16.51
   7	4.763e+04	   18.45
   8	4.528e+04	   20.54
   9	4.391e+04	   22.82
  10	4.326e+04	   25.35
  11	4.305e+04	   28.16
  12	4.303e+04	   31.29
  13	4.303e+04	   34.74
  14	4.302e+04	   38.52
  15	4.298e+04	   42.59
  16	4.288e+04	   46.94
  17	4.268e+04	    51.5
  18	4.231e+04	   56.24
  19	4.177e+04	   61.11
  20	4.11e+04	   66.05
  21	4.036e+04	   71.02
  22	3.955e+04	   75.96
  23	3.867e+04	   80.85
  24	3.773e+04	   85.66
  25	3.674e+04	   90.37
  26	3.574e+04	   94.95
  27	3.475e+04	    99.4
  28	3.378e+04	   103.7
  29	3.283e+04	   107.9
  30	3.188e+04	   111.9
  31	3.095e+04	   115.8
  32	3.006e+04	   119.5
  33	2.92e+04	   123.1
  34	2.838e+04	   126.6
  35	2.759e+04	     130
  36	2.681e+04	   133.2
  37	2.606e+04	   136.3
  38	2.535e+04	   139.3
  39	2.466e+04	   142.2
  40	2.401e+04	     145
  41	2.337e+04	   147.7
  42	2.275e+04	   150.3
  43	2.215e+04	   152.8
  44	2.158e+04	   155.3
  45	2.103e+04	   157.6
  46	2.049e+04	   159.9
  47	1.997e+04	   162.1
  48	1.947e+04	   164.2
  49	1.898e+04	   166.3
  50	1.85e+04	   168.3
  51	1.805e+04	   170.2
  52	1.761e+04	   172.1
  53	1.717e+04	   173.9
  54	1.675e+04	   175.6
  55	1.634e+04	   177.3
  56	1.594e+04	   178.9
  57	1.556e+04	   180.5
  58	1.518e+04	     182
  59	1.481e+04	   183.5
  60	1.445e+04	   184.9
  61	1.41e+04	   186.3
  62	1.376e+04	   187.7
  63	1.343e+04	   188.9
  64	1.311e+04	   190.2
  65	1.278e+04	   191.4
  66	1.247e+04	   192.6
  67	1.216e+04	   193.7
  68	1.187e+04	   194.8
  69	1.157e+04	   195.9
  70	1.128e+04	   196.9
  71	 1.1e+04	   197.8
  72	1.071e+04	   198.8
  73	1.042e+04	   199.7
  74	1.005e+04	   200.6
  75	    9416	   201.4
  76	    8439	     202
  77	    7412	   202.6
  78	    6569	     203
  79	    5838	   203.3
  80	    5272	   203.6
  81	    4822	   203.8
  82	    4493	     204
  83	    4246	   204.2
  84	    4081	   204.3
  85	    3974	   204.5
  86	    3912	   204.6
  87	    3888	   204.8
  88	    3885	   204.9
  89	    3894	     205
  90	    3910	   205.2
  91	    3922	   205.3
  92	    3921	   205.5
  93	    3904	   205.6
  94	    3868	   205.8
  95	    3812	   205.9
  96	    3735	   206.1
  97	    3638	   206.2
  98	    3526	   206.3
  99	    3402	   206.5
 100	    3269	   206.6
 101	    3130	   206.7
 102	    2990	   206.8
 103	    2849	   206.9
 104	    2711	     207
 105	    2578	     207
 106	    2449	   207.1
 107	    2327	   207.2
 108	    2210	   207.2
 109	    2099	   207.3
 110	    1995	   207.3
 111	    1895	   207.4
 112	    1801	   207.4
 113	    1712	   207.5
 114	    1627	   207.5
 115	    1546	   207.5
 116	    1469	   207.5
 117	    1395	   207.6
 118	    1323	   207.6
 119	    1255	   207.6
 120	    1189	   207.6
 121	    1126	   207.6
 122	    1064	   207.7
 123	    1005	   207.7
 124	   948.5	   207.7
 125	   893.8	   207.7
 126	   841.4	   207.7
 127	     791	   207.7
 128	   742.8	   207.7
 129	   696.9	   207.7
 130	   653.2	   207.7
 131	   611.9	   207.7
 132	   572.9	   207.8
 133	   536.2	   207.8
 134	   501.9	   207.8
 135	     470	   207.8
 136	   440.6	   207.8
 137	   413.6	   207.8
 138	     389	   207.8
 139	   366.8	   207.8
 140	     347	   207.8
 141	   329.4	   207.8
 142	     314	   207.8
 143	   300.5	   207.8
 144	   288.6	   207.8
 145	   277.2	   207.8
 146	     262	   207.8
 147	   231.4	   207.8
 148	   172.6	   207.8
 149	   100.9	   207.8
 150	   55.17	   207.8
 151	   52.48	   207.8
 152	   114.9	   207.8
 153	   212.9	   207.8
 154	   87.34	   207.8
 155	   42.43	   207.8
 156	   84.85	   207.8
 157	   59.85	   207.8
 158	   47.36	   207.8
 159	   68.18	   207.8
 160	   39.12	   207.8
 161	   59.86	   207.8
 162	   34.65	   207.8
 163	   48.47	   207.8
 164	   30.91	   207.8
 165	   35.73	   207.8
 166	    29.3	   207.8
 167	   24.78	   207.8
 168	   29.45	   207.8
 169	   19.82	   207.8
 170	   22.69	   207.8
 171	   20.05	   207.8
 172	   15.52	   207.8
 173	   18.05	   207.8
 174	   14.94	   207.8
 175	   12.03	   207.8
 176	   13.34	   207.8
 177	   12.12	   207.8
 178	   9.451	   207.8
 179	   9.432	   207.8
 180	   10.14	   207.8
 181	   8.042	   207.8
 182	   7.033	   207.8
 183	   7.339	   207.8
 184	   7.532	   207.8
 185	   6.169	   207.8
 186	   5.512	   207.8
 187	   5.602	   207.8
 188	   6.004	   207.8
 189	   5.361	   207.8
 190	   4.678	   207.8
 191	   4.525	   207.8
 192	   4.785	   207.8
 193	   5.009	   207.8
 194	   4.517	   207.8
 195	   4.078	   207.8
 196	   4.039	   207.8
 197	   4.264	   207.8
 198	   4.325	   207.8
 199	   3.964	   207.8
 200	   3.624	   207.8
 201	   3.545	   207.8
 202	   3.601	   207.8
 203	   3.464	   207.8
 204	   3.138	   207.8
 205	   2.886	   207.8
 206	   2.785	   207.8
 207	   2.779	   207.8
 208	   2.706	   207.8
 209	   2.469	   207.8
 210	   2.217	   207.8
 211	   2.058	   207.8
 212	    1.96	   207.8
 213	   1.822	   207.8
 214	   1.608	   207.8
 215	   1.394	   207.8
 216	   1.236	   207.8
 217	   1.131	   207.8
 218	   1.046	   207.8
 219	  0.9491	   207.8
 220	  0.8589	   207.8
 221	   0.819	   207.8
 222	  0.8447	   207.8
 223	  0.9037	   207.8
 224	  0.8974	   207.8
 225	  0.7512	   207.8
 226	  0.5549	   207.8
 227	   0.442	   207.8
